品目,取扱,理由•受入条件
網戸,粗大,
アルミ蒸着フィルム製容器包装,資源プラ,冷凍食品やお菓子の容器でプラマークの付いた裏面が銀色の袋
アルミホイル,不燃,
安全靴,不燃,
石•砂（ペット用砂含む）•土•ブロック,受入不可,建築廃材であるため
衣装ケース（ﾌﾟﾗｽﾁｯｸ製）,粗大,一斗缶サイズ以内の大きさにすれば、資源プラとして取り扱う。
一輪車（運搬用）,粗大,事業系は受入不可とする。
一斗缶（２４㎝×２４㎝×３５㎝）,カン,中身を完全に使いきり、オイル•ペンキ•溶剤等は古布等で拭き取ること（事業系は受入不可）
医療器具（在宅医療のチューブ、バック等）,可燃,鋭利でないもの（輸液バッグ類、チューブ類、注入器、インスリンカートリッジ等）
医療器具（上記以外のもの）,受入不可,病院又は医療機関へ返却すること
衣類乾燥機,受入不可,家電リサイクル法対象品であるため。また、分解したものでも受入不可とする。
入歯,不燃,
ウィングレット（電動立ち乗り二輪車）,受入不可,購入先等に引き取ってもらう（電動式のため、破砕時火災の原因となる。）。
ウインドファン,粗大,冷房機能がないものに限る。
ウォーターサーバー,受入不可,フロンを含むため
ウォーターサーバー,粗大,冷媒を使用しない電子方式は受入可とする。
植木鉢（プラスチック製）,資源プラ,必ず洗浄すること。ただし、一斗缶を超える大きさは粗大ごみ
植木鉢（焼き物）,不燃,一斗缶サイズを超える大きさは粗大ごみ
ウオシュレット（便座）,粗大,洗浄してビニール袋に入れること
うす（木製•石製）,受入不可,組合設備の破砕機•内部ハンマー等が損傷するおそれがあるため
AED,受入不可,購入店又は製造販売業者へ連絡すること（製造業者や販売店で設置場所の登録•管理をしているため）
エアーコンプレッサー,受入不可,一斗缶サイズ以内の大きさは不燃ごみとする。
エアコン■（ウインドウ型•室外機含む）,受入不可,家電リサイクル法対象品であるため。また、分解したものも受入不可。天井埋込形又は壁埋込形はリサイクル法の対象外なので受入可とする。
エアロパーツ（自動車部品）,粗大,２ｍ×１ｍ以内に切断したものとする。
エコキュート、エコウィル、エネファーム等高効率給湯器,受入不可,
エレクトーン,粗大,
塩化ビニール管,粗大,個人のものに限り、直径5㎝、長さ50㎝以内であれば、可燃ごみとして受入可。 50㎝以上2ｍ以内であれば、粗大ごみとして受入可とする.。
エンジンオイル（液体状のもの）,受入不可,液体のため受入不可。購入先で引き取ってもらうこと
エンジンオイル（固めたもの）,可燃,
エンジンオイル缶（４㍑以下）,カン,中身を完全に使いきること
オイルヒーター,粗大,中のオイルを完全に抜くこと
オイルレスオイルヒーター,粗大,中の水を抜くこと
オイルライター,有害,中身を使いきること
オイルライターの燃料缶,ビン,スプレー缶と同様に、中身を使い切ること
オートバイ（原付を含む）,受入不可,組合設備の破砕機•内部ハンマー等が、損傷するおそれがあるため(二輪車リサイクルシステムの活用。)
オートバイの部品,受入不可,購入先等で引き取ってもらうこと
オシロスコープ,粗大•不燃,事業系は受入不可とする。
落葉庭枝焼却器,粗大,
おまる,不燃,内部に金具が含まれている可能性があるため
おむつ,可燃,汚物は自家処理すること
おもちゃ,不燃,ビニール、プラスチック製は資源プラスチック。金具付は不燃ごみとし、電池は外すこと
オルガン,粗大,
カーステレオ,不燃,車の走行とは関係がないため受入可とする。
カーナビ,不燃,付属品、後付け品どちらも受入可とする。
貝,可燃,
介護用電動ベット,粗大,20cm×15cm×15cm以内のモーターに限る。又はモーターを取り外すこと
カイロ（使い捨て）,可燃,燃えないごみと表示があるものの、処理後には残渣となるため
傘,不燃,分解し、柄•骨は不燃ごみ。傘布は素材に応じて分別すること
傘たて（陶器製）,不燃,一斗缶サイズを超える大きさは粗大ごみ
ガスボンベ（カセットコンロ用）,ビン,中身を完全に使いきること（中身が残っているものは受入不可）。穴開けは不要とする。
ガスボンベ(プロパン用),受入不可,専門業者以外での処理が不可能であるため
カセットテープ,不燃,金属部があるため不燃ごみ
家庭用ゲーム機用プレイシート,粗大,
家庭用小型焼却炉,粗大,金属製で残渣等が残っていないこと
カヌー,受入不可,２ｍ×１ｍ以内に切断したものは、粗大ごみとして受入可とする。
カバン,可燃,金具部分を外すこと。外せないものは不燃ごみ
壁紙（クロス）,可燃,５０cm×５０cm以内に切断すること
ガラスクズ（ガラス屋）,受入不可,産業廃棄物であるため
軽石,受入不可,家庭のお風呂で使う程度であれば、不燃ごみとして受入可とする。
かわら,受入不可,建築廃材であるため
簡易消火具（スプレー式）,ビン,スプレー式の消火具は、他のスプレー缶と同様に使い切ること（可能な限り穴をあける。）
乾燥剤（シリカゲル等）,可燃,石灰乾燥剤は、水分等を含ませると発火性があるため受入不可とする。
