,品目,手数料
1水・電気・石油・ガス器具類,アイロン,310円
1水・電気・石油・ガス器具類,映写機,310円
1水・電気・石油・ガス器具類,オイルヒーター（オイルを抜くこと）,520円
1水・電気・石油・ガス器具類,オーブン,520円
1水・電気・石油・ガス器具類,温水器,520円
1水・電気・石油・ガス器具類,温風器,520円
1水・電気・石油・ガス器具類,ガスコンロ（1口）,310円
1水・電気・石油・ガス器具類,ガスレンジ,520円
1水・電気・石油・ガス器具類,ガス台（2口）,520円
1水・電気・石油・ガス器具類,カセットデッキ,310円
1水・電気・石油・ガス器具類,カラオケセット,520円
1水・電気・石油・ガス器具類,加湿器,310円
1水・電気・石油・ガス器具類,家具調こたつ,520円
1水・電気・石油・ガス器具類,換気扇,310円
1水・電気・石油・ガス器具類,キーボード（パソコン用）,310円
1水・電気・石油・ガス器具類,空気清浄機※フロンガスを含まないもの,310円
1水・電気・石油・ガス器具類,コーヒーメーカー,310円
1水・電気・石油・ガス器具類,こたつヒーター,310円
1水・電気・石油・ガス器具類,コピー機（3辺の合計120ｃｍ以内のもの）,520円
1水・電気・石油・ガス器具類,ジューサー,310円
1水・電気・石油・ガス器具類,シュレッター,310円
1水・電気・石油・ガス器具類,除湿器※フロンガスを含まないもの,310円
1水・電気・石油・ガス器具類,照明器具,310円
1水・電気・石油・ガス器具類,浄水器,310円
1水・電気・石油・ガス器具類,食器乾燥機,520円
1水・電気・石油・ガス器具類,炊飯器,310円
1水・電気・石油・ガス器具類,スキャナー,310円
1水・電気・石油・ガス器具類,スタンド,310円
1水・電気・石油・ガス器具類,ステレオセット（ミニコンポ以外）,"1,360円"
1水・電気・石油・ガス器具類,ストーブ（ファンヒーター含む）,310円
1水・電気・石油・ガス器具類,スピーカー,310円
1水・電気・石油・ガス器具類,ズボンプレッサー,310円
1水・電気・石油・ガス器具類,製氷機※フロンガスを含まないもの,520円
1水・電気・石油・ガス器具類,精米機,520円
1水・電気・石油・ガス器具類,扇風機,310円
1水・電気・石油・ガス器具類,掃除機※バッテリーは除く,310円
1水・電気・石油・ガス器具類,送風機,520円
1水・電気・石油・ガス器具類,タイプライター,520円
1水・電気・石油・ガス器具類,卓上ミシン,520円
1水・電気・石油・ガス器具類,蓄音機,310円
1水・電気・石油・ガス器具類,チューナー,310円
1水・電気・石油・ガス器具類,DVDプレーヤー,310円
1水・電気・石油・ガス器具類,テープレコーダー,310円
